Nome da Atividade,Custo Adicional,Descricao
City Tour Guiado,250,Passeio guiado pelos principais pontos turisticos da cidade.
Passeio Gastronomico,320,Experiencia gastronomica com pratos tipicos da regiao.
Museu e Monumentos,180,Visita aos principais museus e monumentos historicos.
Passeio de Barco,450,Passeio de barco com vista panoramica dos principais atrativos.
Trilha Ecologica,220,Caminhada guiada por trilhas e areas naturais.
Tour Fotografico,280,Tour pelos melhores locais para fotografia com guia especializado.
Ingresso Parque Tematico,650,Entrada para parque tematico ou parque de diversoes.
Experiencia Cultural,300,Atividade cultural com apresentacoes e tradicoes locais.
Degustacao de Vinhos,380,Degustacao de vinhos acompanhada por especialista.
Voo de Helicoptero,1200,Passeio panoramico de helicoptero sobre o destino.